# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,tipo,cod_id,poste,idx,bus,fases_ligadas,tip_cc,classe,curva,curva_origem,fas_con,car_inst_kw,kw_pico,kvar_pico,kv,clas_sub,classe_consumo,tip_edificacao,gru_tar,gru_ten,ten_forn,cnae,cep,are_loc,mun,uni_tr_mt,ceg_gd,ene_01,ene_02,ene_03,ene_04,ene_05,ene_06,ene_07,ene_08,ene_09,ene_10,ene_11,ene_12
ucbt_res_1850636_2,unidade consumidora BT,b50f283edb004e8c39067a4bd2c34e4eaf6ef51d01b709769ea8b80ed2077329,1850636,2,BT_1727695,1,RES-Tipo8,RES,RES_Tipo8,catalogo,AN,9.0000,0.6126,0.1244,0.2194,,,,,BT,10,,,UB,4218707,7449457,,345.51,388.08,343.952,294.455,336.7,289.92,339.57,331.2,337.137,323.3156,357.205,337.675
ucbt_res_1850636_3,unidade consumidora BT,791dd46a597d41c57f1925aef17ecc9362a9ac2803378f83fba7c4430cf2b4f0,1850636,3,BT_1727695,1,RES-Tipo2,RES,RES_Tipo2,catalogo,AN,12.0000,2.1269,0.4319,0.2194,,,,,BT,10,,,UB,4218707,7449457,,755.37,653.4,641.284,566.535,647.5,720.96,631.806,445.05,429.927,463.6616,511.43,474.823
ucbt_res_1850636_4,unidade consumidora BT,ba3e71b89f4d0309d40673215bba9322c9b43aaab50cac56ffa5b1a72037bdd8,1850636,4,BT_1727695,2,RES-Tipo2,RES,RES_Tipo2,catalogo,BN,12.0000,0.2880,0.0585,0.2194,,,,,BT,10,,,UB,4218707,7449457,,115.83,99.0,97.384,67.125,74.0,58.56,58.653,67.275,64.953,67.574,84.575,85.198
ucbt_res_1850640_0,unidade consumidora BT,6e3f8ee60b665f7702d690427fbd620de3ff03cabea4ddcd87a51304131eae91,1850640,0,BT_1727693,3,RES-Tipo4,RES,RES_Tipo4,catalogo,CN,12.0000,0.0746,0.0151,0.2194,,,,,BT,10,,,UB,4218707,7449457,,64.35,55.44,58.016,53.7,47.175,43.2,44.247,46.575,45.364,51.98,53.73,51.95
ucbt_res_1850640_1,unidade consumidora BT,d4ba4dc42d1a525e7c31160398fb4d6baed97185878aaba0fdb7f58fa0bcb41c,1850640,1,BT_1727693,2,RES-Tipo5,RES,RES_Tipo5,catalogo,BN,8.0000,0.5241,0.1064,0.2194,,,,,BT,10,,,UB,4218707,7449457,,231.66,240.57,229.992,184.37,173.9,166.08,179.046,172.845,172.177,176.732,149.25,246.243
ucbt_res_1850640_2,unidade consumidora BT,e7d705a4237b0109eb8c303de6b3b60642cedd03a422757a7fe2623b9dd9606a,1850640,2,BT_1727693,1,RES-Tipo2,RES,RES_Tipo2,catalogo,AN,8.0000,1.0969,0.2227,0.2194,,,,,BT,10,,,UB,4218707,7449457,,413.82,342.54,439.264,337.415,259.925,209.28,217.119,237.015,227.851,250.5436,328.35,316.895
ucbt_res_1850640_3,unidade consumidora BT,15d0e15f92bdbc6f7afebbf61f82cc9e62c04e65dfa958145af1aec5ff5ec522,1850640,3,BT_1727693,2,RES-Tipo3,RES,RES_Tipo3,catalogo,BN,8.0000,0.3205,0.0651,0.2194,,,,,BT,10,,,UB,4218707,7449457,,223.74,113.85,188.552,173.63,140.6,66.24,116.277,108.675,121.658,125.7916,104.475,175.591
ucbt_res_1850642_0,unidade consumidora BT,9076daf1f400fb62f60ddb9e6a809dbd1edd4d1800074e906dd316d44e3c7d1d,1850642,0,BT_1716981,3,RES-Tipo7,RES,RES_Tipo7,catalogo,CN,8.0000,1.8220,0.3700,0.2194,,,,,BT,10,,,UB,4218707,7449457,,269.28,288.09,302.512,261.34,264.55,229.44,256.221,262.89,243.316,249.504,272.63,249.36
ucbt_res_1850642_1,unidade consumidora BT,2f696edce0d5dc30a7ec6d872ca40b9d11e4aa4d5d7ba543031e4cdf8e382e33,1850642,1,BT_1716981,1,RES-Tipo5,RES,RES_Tipo5,catalogo,AN,8.0000,0.5335,0.1083,0.2194,,,,,BT,10,,,UB,4218707,7449457,,258.39,231.66,275.576,217.485,197.95,174.72,170.814,111.78,220.634,150.742,178.105,176.63
ucbt_res_1851246_0,unidade consumidora BT,64f08a933b303c7c35c3be6d53d067d920f4a3227533b7157be3caf276e2c078,1851246,0,BT_1727694,1,RES-Tipo2,RES,RES_Tipo2,catalogo,AN,8.0000,0.9192,0.1867,0.2194,,,,,BT,10,,,UB,4218707,7449457,,306.9,294.03,277.648,221.96,218.3,230.4,250.047,240.12,234.037,266.1376,229.845,230.658
ucbt_com_1915414_0,unidade consumidora BT,03df361f821cfe775087d2bd521cf2bb0b9132e2a45b3b4e35d71b9c6d6ad3cf,1915414,0,BT_5925759,123,COM-Tipo7,COM,COM_Tipo7,catalogo,ABCN,9.0000,2.0570,0.5999,0.3800,,,,,BT,10,,,UB,4218707,7449833,GD.SC.000.728.373,0.0,0.0,0.0,0.0,1009.175,801.6,908.607,810.405,866.04,902.3728,1000.97,1009.908
ucbt_com_1915414_1,unidade consumidora BT,03df361f821cfe775087d2bd521cf2bb0b9132e2a45b3b4e35d71b9c6d6ad3cf,1915414,1,BT_5925759,123,COM-Tipo7,COM,COM_Tipo7,catalogo,ABCN,9.0000,2.5144,0.7334,0.3800,,,,,BT,10,,,UB,4218707,7449833,GD.SC.000.728.373,1016.73,1056.33,1348.872,1045.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_com_2223498_0,unidade consumidora BT,a79fbcfdb8df39beaddd7c7adb4edd581bdd5ca4e4e8675a549a93a0410a1f0c,2223498,0,BT_1655578,123,COM-Tipo6,COM,COM_Tipo6,catalogo,ABCN,37.0000,16.5503,4.8272,0.3800,,,,,BT,10,,,UB,4218707,7449834,GD.SC.001.218.882,7474.5,7415.1,7698.516,8506.975,9418.35,8624.64,8168.202,7972.605,8557.3,8634.9176,8248.55,7120.267
ucbt_com_2644420_0,unidade consumidora BT,3d611b3648dde197c9c250500a3190b7f76d8cc9cd7428f5878f491aec8653e9,2644420,0,BT_2415596,123,COM-Tipo1,COM,COM_Tipo1,catalogo,ABCN,12.0000,0.3671,0.1071,0.3800,,,,,BT,10,,,UB,4218707,7449833,,0.0,0.0,0.0,0.0,185.0,192.0,200.655,198.72,177.332,164.2568,148.255,169.357
ucbt_com_2644420_1,unidade consumidora BT,3d611b3648dde197c9c250500a3190b7f76d8cc9cd7428f5878f491aec8653e9,2644420,1,BT_2415596,123,COM-Tipo1,COM,COM_Tipo1,catalogo,ABCN,12.0000,0.3135,0.0914,0.3800,,,,,BT,10,,,UB,4218707,7449833,,163.35,153.45,144.004,152.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_com_2644420_2,unidade consumidora BT,de34280ad7fd6b7d3d2e6f82c5ef68db97f17f188637955187542f2cd622c5b4,2644420,2,BT_2415596,123,COM-Tipo3,COM,COM_Tipo3,catalogo,ABCN,18.0000,0.3469,0.1012,0.3800,,,,,BT,10,,,UB,4218707,7449833,,0.0,0.0,0.0,0.0,185.0,184.32,130.683,127.305,141.247,129.95,46.765,98.705
