# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,cod_id,familia,bus1,bus2,comp_m,fases,fas_con,tip_inst,tip_cnd,linecode,uni_tr_mt,p_n_ope,ligada_no_caso,pot_kvar,pot_kva,tip_unid,tip_regu,ten_reg,rel_tp,rel_tc,cor_nom,banc,mun
bt_9169033,9169033,cabo BT,BT_2725791,BT_1685989,26.7310,3,ABCN,RD_AER_URB,BT-34-34-34-34-7,CND_BT-34-34-34-34-7,7483569,,,,,,,,,,,,
bt_9156852,9156852,cabo BT,BT_1678110,BT_1691630,64.6810,1,AN,RD_AER_URB,BT-32-0-0-32-7,CND_BT-32-0-0-32-7,7449833,,,,,,,,,,,,
bt_9156836,9156836,cabo BT,BT_1655576,BT_1691629,78.2351,3,ABCN,RD_AER_URB,BT-61-61-61-61-4,CND_BT-61-61-61-61-4,7449833,,,,,,,,,,,,
bt_9084484,9084484,cabo BT,BT_1655576,BT_1678110,32.0934,3,ABCN,RD_AER_URB,BT-140-140-140-140-4,CND_BT-140-140-140-140-4,7449833,,,,,,,,,,,,
bt_8934082,8934082,cabo BT,BT_1655577,BT_1655578,37.6655,3,ABCN,RD_AER_URB,BT-148-148-148-148-4,CND_BT-148-148-148-148-4,7449834,,,,,,,,,,,,
bt_9284947,9284947,cabo BT,BT_1691629,BT_1726911,44.2037,1,AN,RD_AER_URB,BT-201-0-0-201-4,CND_BT-201-0-0-201-4,7449833,,,,,,,,,,,,
bt_9125647,9125647,cabo BT,BT_1727690,BT_1727691,31.0353,3,ABCN,RD_AER_URB,BT-32-32-32-32-7,CND_BT-32-32-32-32-7,7449457,,,,,,,,,,,,
bt_9125637,9125637,cabo BT,BT_1727691,BT_1727689,28.0137,3,ABCN,RD_AER_URB,BT-32-32-32-32-7,CND_BT-32-32-32-32-7,7449457,,,,,,,,,,,,
bt_9125627,9125627,cabo BT,BT_1727695,BT_1716982,31.8585,3,ABCN,RD_AER_URB,BT-32-32-32-32-7,CND_BT-32-32-32-32-7,7449457,,,,,,,,,,,,
bt_9125591,9125591,cabo BT,BT_1727695,BT_1727692,32.8566,3,ABCN,RD_AER_URB,BT-34-34-34-34-7,CND_BT-34-34-34-34-7,7449457,,,,,,,,,,,,
bt_9125618,9125618,cabo BT,BT_1727692,BT_1727693,38.5608,3,ABCN,RD_AER_URB,BT-34-34-34-34-7,CND_BT-34-34-34-34-7,7449457,,,,,,,,,,,,
bt_9191303,9191303,cabo BT,BT_1727693,BT_1716981,34.1944,3,ABCN,RD_AER_URB,BT-34-34-34-34-7,CND_BT-34-34-34-34-7,7449457,,,,,,,,,,,,
bt_9228742,9228742,cabo BT,BT_1716981,BT_1727694,30.0382,3,ABCN,RD_AER_URB,BT-34-34-34-34-7,CND_BT-34-34-34-34-7,7449457,,,,,,,,,,,,
